Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP(kJ/m³)";;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;3-BRSA-1017D-RJS;3MLL69DRJS;MARLIM LESTE;Petrobras;480000039009703;2018/01;3.107,4003;0,0000;3.107,4003;46,4845;0,0000;46,4845;1.360,97039;2.003,4550;PETROBRAS 53;UEP;744;2015/07;Marlim Leste;24,7;< 290ºC;32,18%;290ºC a 380ºC;14,20%;> 380ºC;53,62%;66,035;13,121;10,658;1,427;2,837;0,552;0,68;0,727;0,281;0,094;0,022;0;0;0,152;1,705;1,709;2,003436;528,452011;40716,5602
Rio de Janeiro;Santos;3-BRSA-1305A-RJS;3RJS739A;MERO;Petrobras;48610011150201300;2018/01;13.565,2473;0,0000;13.565,2473;807,1060;0,0000;807,1060;24.955,34939;238,0652;FPSO PIONEIRO DE LIBRA;UEP;542;2017/06;LIBRA;29,1;< 270ºC;32,57%;270ºC a 458ºC;25,51%;> 458ºC;41,92%;40,84;7,18;5,08;1,64;1,77;0,93;0,43;0,81;0,08;0,01;0;0;0;0,01;1,54;39,68;2,072293;536,701938;22650,2498
Rio de Janeiro;Santos;3-BRSA-496-RJS;3RJS646;LULA;Petrobras;486100038862000;2018/01;17.644,5019;0,0000;17.644,5019;940,3498;0,0000;940,3498;16.430,68477;210,9276;FPSO CIDADE DE ANGRA DOS REIS;UEP;730;2015/07;Lula;31;< 270ºC;35,35%;270ºC a 458ºC;26,38%;> 458ºC;38,27%;71,18878;11,17027;6,90041;1,16554;2,13203;0,4341;0,47354;0,21106;0,06474;0,01789;0,01041;0;0;0;0,70426;5,52697;2,025098;531,062146;38716,2307
São Paulo;Santos;3-BRSA-788-SPS;3SPS69;SAPINHOÁ;Petrobras;486100038842000;2018/01;21.270,4296;0,0000;21.270,4296;953,8917;0,0000;953,8917;14.747,81321;0,0000;FPSO CIDADE DE ILHA BELA;UEP;736;2015/07;Sapinhoá;30,01;< 270ºC;34,10%;270ºC a 458ºC;27,91%;> 458ºC;37,99%;70,40757;11,4576;9,16978;1,31006;2,28984;0,37572;0,39816;0,07168;0,01421;0,0054;0,0015;0;0;0;1,05059;3,44789;2,000271;528,090035;39620,2435
Rio de Janeiro;Santos;3-BRSA-830-RJS;3RJS676;LULA;Petrobras;486100038862000;2018/01;13.024,3930;0,0000;13.024,3930;1.063,2650;0,0000;1.063,2650;18.578,37598;0,0000;FPSO CIDADE DE MANGARATIBA;UEP;743;2015/07;Lula;31;< 270ºC;35,35%;270ºC a 458ºC;26,38%;> 458ºC;38,27%;71,18878;11,17027;6,90041;1,16554;2,13203;0,4341;0,47354;0,21106;0,06474;0,01789;0,01041;0;0;0;0,70426;5,52697;2,025098;531,062146;38716,2307
Rio de Janeiro;Santos;3-BRSA-839A-RJS;3RJS675A;LULA;Petrobras;486100038862000;2018/01;21.385,6117;0,0000;21.385,6117;906,3452;0,0000;906,3452;15.836,52488;0,0000;FPSO CIDADE DE ITAGUAÍ;UEP;730;2015/07;Lula;31;< 270ºC;35,35%;270ºC a 458ºC;26,38%;> 458ºC;38,27%;71,18878;11,17027;6,90041;1,16554;2,13203;0,4341;0,47354;0,21106;0,06474;0,01789;0,01041;0;0;0;0,70426;5,52697;2,025098;531,062146;38716,2307
Rio de Janeiro;Santos;3-BRSA-865A-RJS;3RJS677A;LULA;Petrobras;486100038862000;2018/01;18.739,6801;0,0000;18.739,6801;751,1101;0,0000;751,1101;13.124,10916;0,0000;FPSO CIDADE DE ANGRA DOS REIS;UEP;744;2015/07;Lula;31;< 270ºC;35,35%;270ºC a 458ºC;26,38%;> 458ºC;38,27%;71,18878;11,17027;6,90041;1,16554;2,13203;0,4341;0,47354;0,21106;0,06474;0,01789;0,01041;0;0;0;0,70426;5,52697;2,025098;531,062146;38716,2307
Rio de Janeiro;Santos;3-BRSA-883-RJS;3RJS680;LULA;Petrobras;486100038862000;2018/01;13.722,6747;0,0000;13.722,6747;715,1143;0,0000;715,1143;12.495,15618;0,0000;Petrobras 66 (P-66);UEP;498;2015/07;Lula;31;< 270ºC;35,35%;270ºC a 458ºC;26,38%;> 458ºC;38,27%;71,18878;11,17027;6,90041;1,16554;2,13203;0,4341;0,47354;0,21106;0,06474;0,01789;0,01041;0;0;0;0,70426;5,52697;2,025098;531,062146;38716,2307
Espírito Santo;Campos;6-BRSA-1222A-ESS;6JUB48AESS;JUBARTE;Petrobras;480000035609749;2018/01;22.239,2728;0,0000;22.239,2728;711,8383;0,0000;711,8383;22.057,18043;87,4257;PETROBRAS 58;UEP;744;2017/02;Jubarte;24,6;< 290ºC;28,40%;290ºC a 380ºC;14,50%;> 380ºC;57,10%;78,43;8,24;4,12;0,75;1,48;0,44;0,79;1,1;1,11;0,5;0,15;0,06;0;0;0,79;2,04;2,04655;533,531375;39175,6067
Espírito Santo;Campos;6-BRSA-631DB-ESS;6BAZ1DBESS;BALEIA AZUL;Petrobras;480000035609749;2018/01;5.925,8579;0,0000;5.925,8579;181,3504;0,0000;181,3504;5.619,18014;5.011,5343;FPSO CIDADE DE ANCHIETA;UEP;694;2017/02;Baleia Azul;29,72;< 270ºC;34,30%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;75,55;9,21;5,11;0,85;1,6;0,37;0,56;0,56;0,62;0,45;0,26;0,08;0;0;0,82;3,96;2,028121;531,371801;38673,7078
